,playerId,recYards,combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic,draft
223,20020047,1522,14931,2002,WR,73.5,194,,Andre,Davis,Andre Davis,WR,24061.0,2505045,Virginia Tech,73.0,200.0,1979-06-12,22.87123287671233,http://www.nfl.com/player/AndreDavis/2505045/profile,Niskayuna,NY,USA,,,,,,4.41,39.5,,4.1,117.0,6.77,,,2002
224,20020048,1978,14908,2002,WR,71.8,194,,Reche,Caldwell,Reche Caldwell,WR,32611.0,2505046,Florida,72.0,210.0,1979-03-28,23.07945205479452,http://www.nfl.com/player/RecheCaldwell/2505046/profile,Tampa,FL,USA,Thomas Jefferson HS,Tampa,FL,USA,,4.53,41.5,,4.1,128.0,7.0,,,2002
230,20020062,3827,14943,2002,WR,69.6,191,,Antwaan,Randle El,Antwaan Randle El,WR,47405.0,2505060,Indiana,70.0,185.0,1979-08-17,22.69041095890411,http://www.nfl.com/player/AntwaanRandleEl/2505060/profile,Riverdale,IL,USA,,,,,,4.54,,,,,,,,2002
231,20020063,2961,14904,2002,WR,73.3,188,,Antonio,Bryant,Antonio Bryant,WR,15260.0,2505061,Pittsburgh,73.0,211.0,1981-03-09,21.12876712328767,http://www.nfl.com/player/AntonioBryant/2505061/profile,Miami,FL,USA,Miami Northwestern HS,,FL,USA,,4.6,37.0,,,118.0,,,,2002
232,20020065,6422,14899,2002,WR,69.1,191,,Deion,Branch,Deion Branch,WR,40292.0,2505062,Louisville,69.0,195.0,1979-07-18,22.77260273972603,http://www.nfl.com/player/DeionBranch/2505062/profile,Albany,GA,USA,Monroe HS,Albany,GA,USA,,4.47,36.0,,3.76,115.0,6.71,,,2002
235,20020087,221,15084,2002,WR,71.4,185,,Cliff,Russell,Cliff Russell,WR,84112.0,2505082,Utah,71.0,190.0,1979-02-08,23.21095890410959,http://www.nfl.com/player/CliffRussell/2505082/profile,Ewa Beach,HI,USA,,,,,,4.43,,,,,,,,2002
242,20020123,93,15009,2002,WR,74.5,225,,Ron,Johnson,Ron Johnson,WR,55455.0,2505112,Minnesota,74.0,225.0,1980-05-23,21.92328767123288,http://www.nfl.com/player/RonJohnson/2505112/profile,Detroit,MI,USA,,,,,,4.7,34.5,,4.02,116.0,7.12,,,2002
248,20020149,234,15032,2002,WR,73.5,203,,Jason,McAddley,Jason McAddley,WR,35487.0,2504989,Alabama,74.0,200.0,1979-07-28,22.745205479452054,http://www.nfl.com/player/JasonMcAddley/2504989/profile,Brooklyn,NY,USA,Oak Ridge HS,Oak Ridge,TN,USA,,4.5,36.5,,4.09,120.0,6.83,,,2002
249,20020151,87,15085,2002,WR,72.6,200,,Jake,Schifino,Jake Schifino,WR,44325.0,2505133,Akron,73.0,203.0,1979-11-15,22.44383561643836,http://www.nfl.com/player/JakeSchifino/2505133/profile,Pittsburgh,PA,USA,Penn Hills HS,,PA,USA,,4.47,,,,,,,,2002
252,20020162,33,15044,2002,WR,70.1,190,,Freddie,Milons,Freddie Milons,WR,35487.0,2505144,Alabama,71.0,190.0,1980-06-27,21.827397260273973,http://www.nfl.com/player/FreddieMilons/2505144/profile,Starkville,MS,USA,,,,,,4.52,33.5,,,112.0,6.84,,,2002
257,20020184,18,14995,2002,WR,74.0,200,,Kahlil,Hill,Kahlil Hill,WR,52242.0,2504992,Iowa,74.0,200.0,1979-03-18,23.10684931506849,http://www.nfl.com/player/KahlilHill/2504992/profile,Iowa City,IA,USA,Iowa City HS,,IA,USA,,4.67,35.0,,,,,,,2002
262,20020202,370,15031,2002,WR,73.0,190,,Lee,Mays,Lee Mays,WR,79968.0,2505176,Texas-El Paso,74.0,193.0,1978-09-18,23.6027397260274,http://www.nfl.com/player/LeeMays/2505176/profile,Houston,TX,USA,,,,,,4.55,32.5,,4.17,119.0,7.06,,,2002
265,20020222,35,15057,2002,WR,73.6,200,,Kendall,Newson,Kendall Newson,WR,37130.0,2504997,Middle Tennessee State,73.0,193.0,1980-03-05,22.13972602739726,http://www.nfl.com/player/KendallNewson/2504997/profile,Decatur,GA,USA,,,,,,4.72,33.5,,4.27,113.0,6.87,,,2002
269,20020253,1899,14965,2002,WR,72.0,217,,David,Givens,David Givens,WR,46556.0,2505214,Notre Dame,72.0,215.0,1980-08-16,21.69041095890411,http://www.nfl.com/player/DavidGivens/2505214/profile,Youngstown,OH,USA,,,,,,4.57,40.5,,4.13,124.0,6.82,,,2002
271,20030003,11244,15238,2003,WR,74.0,230,,Andre,Johnson,Andre Johnson,WR,33124.0,2505551,Miami (FL),75.0,229.0,1981-07-11,21.805479452054797,http://www.nfl.com/player/AndreJohnson/2505551/profile,Miami,FL,USA,Miami Senior HS,,FL,USA,,4.4,39.0,,,132.0,,,,2003
278,20030045,507,15240,2003,WR,71.0,201,,Bethel,Johnson,Bethel Johnson,WR,77843.0,2505505,Texas A&M,71.0,200.0,1979-02-11,24.21917808219178,http://www.nfl.com/player/BethelJohnson/2505505/profile,Dallas,TX,USA,,,,,,4.37,38.5,,,127.0,,,,2003
279,20030054,10934,15157,2003,WR,72.6,216,,Anquan,Boldin,Anquan Boldin,WR,32306.0,2505587,Florida State,73.0,220.0,1980-10-03,22.575342465753423,http://www.nfl.com/player/AnquanBoldin/2505587/profile,Pahokee,FL,USA,Pahokee HS,,FL,USA,,4.73,33.5,,4.25,114.0,7.35,,,2003
280,20030060,391,15170,2003,WR,75.8,223,,Tyrone,Calico,Tyrone Calico,WR,37130.0,2505590,Middle Tennessee State,76.0,220.0,1980-11-09,22.473972602739725,http://www.nfl.com/player/TyroneCalico/2505590/profile,Orange County,CA,USA,Millington HS,,TN,USA,,4.36,38.0,,4.2,127.0,6.72,,,2003
282,20030063,386,15246,2003,WR,77.4,247,,Teyo,Johnson,Teyo Johnson,TE,94305.0,2505558,Stanford,78.0,245.0,1981-11-29,21.41917808219178,http://www.nfl.com/player/TeyoJohnson/2505558/profile,Vancouver,,Canada,,,,,,4.61,33.5,,,,,,,2003
284,20030071,5477,15167,2003,WR,73.0,197,,Nate,Burleson,Nate Burleson,WR,89557.0,2505511,Nevada,72.0,198.0,1981-08-19,21.698630136986303,http://www.nfl.com/player/NateBurleson/2505511/profile,Calgary,,Canada,Bishop O'Dea HS,Seattle,WA,USA,,4.51,42.5,,4.16,126.0,6.96,,,2003
286,20030074,3565,15181,2003,WR,71.1,186,,Kevin,Curtis,Kevin Curtis,WR,84322.0,2505513,Utah State,72.0,186.0,1978-07-17,24.791780821917808,http://www.nfl.com/player/KevinCurtis/2505513/profile,Murray,UT,USA,,,,,,4.46,36.0,,3.96,122.0,6.75,,,2003
300,20030124,7483,15269,2003,WR,72.1,184,,Brandon,Lloyd,Brandon Lloyd,WR,61801.0,2505600,Illinois,72.0,200.0,1981-07-05,21.82191780821918,http://www.nfl.com/player/BrandonLloyd/2505600/profile,Kansas City,MO,USA,Blue Springs HS,,MO,USA,,4.61,36.0,,,,,,,2003
301,20030127,710,15141,2003,WR,73.9,209,,Sam,Aiken,Sam Aiken,WR,27599.0,2505442,North Carolina,74.0,220.0,1980-12-14,22.378082191780823,http://www.nfl.com/player/SamAiken/2505442/profile,Clinton,NC,USA,,,,,,4.64,39.5,,,121.0,7.22,,,2003
304,20030139,2242,15369,2003,WR,70.3,193,,Bobby,Wade,Bobby Wade,WR,85721.0,2505646,Arizona,70.0,195.0,1981-02-25,22.17808219178082,http://www.nfl.com/player/BobbyWade/2505646/profile,Los Angeles,CA,USA,,,,,,4.68,34.5,,4.03,115.0,7.0,,,2003
308,20030158,36,15275,2003,WR,71.4,215,,Adrian,Madise,Adrian Madise,WR,76109.0,2505446,Texas Christian,71.0,215.0,1980-03-23,23.10684931506849,http://www.nfl.com/player/AdrianMadise/2505446/profile,Lancaster,TX,USA,,,,,,4.53,32.0,,4.23,119.0,7.3,,,2003
311,20030167,1946,15203,2003,WR,74.3,213,,Doug,Gabriel,Doug Gabriel,WR,32816.0,2505605,Central Florida,74.0,215.0,1980-08-27,22.676712328767124,http://www.nfl.com/player/DougGabriel/2505605/profile,Miami,FL,USA,,,,,,4.56,35.5,,4.15,116.0,7.03,,,2003
312,20030169,126,15364,2003,WR,73.0,202,,J.R.,Tolver,J.R. Tolver,WR,92115.0,2505650,San Diego State,73.0,205.0,1980-01-13,23.2986301369863,http://www.nfl.com/player/J.R.Tolver/2505650/profile,Long Beach,CA,USA,,,,,,4.76,36.0,,4.16,119.0,6.98,,,2003
313,20030196,15,15193,2003,WR,70.8,196,,LaTarence,Dunbar,LaTarence Dunbar,WR,76109.0,2505452,Texas Christian,71.0,196.0,1980-08-15,22.70958904109589,http://www.nfl.com/player/LaTarenceDunbar/2505452/profile,Dallas,TX,USA,,,,,,4.54,34.0,,4.3,122.0,7.39,,,2003
314,20030197,2336,15151,2003,WR,73.0,217,,Arnaz,Battle,Arnaz Battle,WR,46556.0,2505571,Notre Dame,73.0,208.0,1980-02-22,23.18904109589041,http://www.nfl.com/player/ArnazBattle/2505571/profile,Dallas,TX,USA,,,,,,4.58,35.0,,4.06,117.0,6.74,,,2003
315,20030203,12,15252,2003,WR,71.8,186,,Kareem,Kelly,Kareem Kelly,WR,90089.0,2518293,USC,71.0,190.0,1981-04-01,22.08219178082192,http://www.nfl.com/player/KareemKelly/2518293/profile,Los Angeles,CA,USA,Long Beach Polytechnic HS,,CA,USA,,4.43,35.0,,4.14,125.0,7.49,,,2003
316,20030221,127,15232,2003,WR,69.6,178,,Keenan,Howry,Keenan Howry,WR,97403.0,2505542,Oregon,70.0,178.0,1981-06-17,21.87123287671233,http://www.nfl.com/player/KeenanHowry/2505542/profile,Los Angeles,CA,USA,,,,,,4.62,31.5,,4.24,114.0,7.34,,,2003
318,20030226,227,15396,2003,WR,76.6,214,,Walter,Young,Walter Young,WR,61801.0,2505425,Illinois,76.0,220.0,1979-12-07,23.4,http://www.nfl.com/player/WalterYoung/2505425/profile,Chicago Heights,IL,USA,,,,,,4.59,39.0,,4.22,121.0,6.89,,,2003
320,20030231,105,15205,2003,WR,72.6,205,,Talman,Gardner,Talman Gardner,WR,32306.0,2505613,Florida State,73.0,210.0,1980-03-10,23.14246575342466,http://www.nfl.com/player/TalmanGardner/2505613/profile,New Orleans,LA,USA,McDonough 35 HS,,LA,USA,,4.47,34.5,,4.41,116.0,7.53,,,2003
324,20030262,264,15227,2003,WR,74.0,200,,Ryan,Hoag,Ryan Hoag,WR,56082.0,2505478,Gustavus Adolphus (MN),74.0,200.0,1979-11-23,23.438356164383563,http://www.nfl.com/player/RyanHoag/2505478/profile,Minneapolis,MN,USA,Washburn HS,Minneapolis,MN,USA,,4.51,38.0,,3.95,125.0,6.72,,,2003
327,20040013,6259,15474,2004,WR,70.9,197,,Lee,Evans,Lee Evans,WR,53706.0,2506097,Wisconsin,72.0,210.0,1981-03-11,23.136986301369863,http://www.nfl.com/player/LeeEvans/2506097/profile,Waynesville,OH,USA,,,,,,4.41,34.5,,,120.0,,,,2004
328,20040015,2667,15440,2004,WR,74.8,209,,Michael,Clayton,Michael Clayton,WR,70803.0,2505925,Louisiana State,75.0,202.0,1982-10-13,21.54520547945205,http://www.nfl.com/player/MichaelClayton/2505925/profile,Baton Rouge,LA,USA,,,,,,4.61,32.5,,4.09,116.0,6.77,,,2004
331,20040031,292,15668,2004,WR,74.1,202,,Rashaun,Woods,Rashaun Woods,WR,74078.0,2506081,Oklahoma State,74.0,202.0,1980-10-17,23.534246575342465,http://www.nfl.com/player/RashaunWoods/2506081/profile,Oklahoma City,OK,USA,Millwood HS,,OK,USA,,4.54,39.0,,3.97,125.0,6.93,,,2004
337,20040078,3744,15413,2004,WR,73.0,183,,Bernard,Berrian,Bernard Berrian,WR,93740.0,2506000,Frenso State (CA),73.0,185.0,1980-12-27,23.339726027397266,http://www.nfl.com/player/BernardBerrian/2506000/profile,Barcelona,,Spain,,,,,,4.58,38.0,,4.18,128.0,7.34,,,2004
339,20040082,562,15457,2004,WR,73.1,213,,Devard,Darling,Devard Darling,WR,99164.0,2505939,Washington State,73.0,213.0,1982-04-16,22.03835616438356,http://www.nfl.com/player/DevardDarling/2505939/profile,,,Bahamas,,,,,,4.52,37.0,,,129.0,,,,2004
340,20040099,60,15481,2004,WR,69.1,198,,Carlos,Francis,Carlos Francis,WR,79415.0,2506050,Texas Tech,70.0,190.0,1981-01-03,23.32054794520548,http://www.nfl.com/player/CarlosFrancis/2506050/profile,Fort Worth,TX,USA,,,,,,4.31,38.5,,4.06,114.0,6.97,,,2004
341,20040105,1691,15562,2004,WR,70.4,179,,Samie,Parker,Samie Parker,WR,97403.0,2505953,Oregon,71.0,185.0,1981-03-25,23.0986301369863,http://www.nfl.com/player/SamieParker/2505953/profile,Long Beach,CA,USA,Long Beach Polytechnic HS,,CA,USA,,4.39,36.0,,,,,,,2004
342,20040108,6510,15450,2004,WR,72.5,212,,Jerricho,Cotchery,Jerricho Cotchery,WR,27607.0,2506004,NC State,73.0,205.0,1982-06-16,21.87123287671233,http://www.nfl.com/player/JerrichoCotchery/2506004/profile,Birmingham,AL,USA,Phillips HS,,AL,USA,,4.56,36.0,,3.91,121.0,6.93,,,2004
346,20040120,2645,15650,2004,WR,75.6,226,,Ernest,Wilford,Ernest Wilford,WR,24061.0,2506089,Virginia Tech,76.0,235.0,1979-01-14,25.293150684931508,http://www.nfl.com/player/ErnestWilford/2506089/profile,Richmond,VA,USA,,,,,,4.76,40.5,,4.17,130.0,,,,2004
349,20040134,625,15552,2004,WR,76.0,229,,Johnnie,Morant,Johnnie Morant,WR,13244.0,2506062,Syracuse,76.0,220.0,1981-12-07,22.39452054794521,http://www.nfl.com/player/JohnnieMorant/2506062/profile,Newark,NJ,USA,,,,,,4.54,41.0,,4.22,130.0,7.34,,,2004
351,20040149,252,15539,2004,WR,74.0,191,,Maurice,Mann,Maurice Mann,WR,89557.0,2506012,Nevada,73.0,190.0,1982-09-14,21.624657534246577,http://www.nfl.com/player/MauriceMann/2506012/profile,Santa Clara,CA,USA,,,,,,4.57,34.0,,,118.0,,,,2004
354,20040157,1783,15490,2004,WR,74.5,199,,D.J.,Hackett,D.J. Hackett,WR,80309.0,2505905,Colorado,74.0,208.0,1981-07-03,22.824657534246576,http://www.nfl.com/player/D.J.Hackett/2505905/profile,Fontana,CA,USA,,,,,,4.55,41.0,,4.08,131.0,6.79,,,2004
356,20040164,145,15593,2004,WR,75.4,210,,P.K.,Sam,P.K. Sam,WR,32306.0,2505941,Florida State,75.0,210.0,1983-02-26,21.172602739726027,http://www.nfl.com/player/P.K.Sam/2505941/profile,Denver,CO,USA,,,,,,4.53,34.5,,,,7.04,,,2004
357,20040171,252,15538,2004,WR,71.0,199,,Triandos,Luke,Triandos Luke,WR,35487.0,2505886,Alabama,70.0,189.0,1981-12-24,22.34794520547945,http://www.nfl.com/player/TriandosLuke/2505886/profile,Phenix City,AL,USA,,,,,,4.43,38.0,,4.17,124.0,7.06,,,2004
361,20040195,111,15546,2004,WR,71.3,203,,Jeris,McIntyre,Jeris McIntyre,WR,36849.0,2520801,Auburn,72.0,203.0,1981-07-04,22.82191780821918,http://www.nfl.com/player/JerisMcIntyre/2520801/profile,Tampa,FL,USA,Tampa Catholic HS,,FL,USA,,4.51,29.0,,4.08,112.0,6.98,,,2004
362,20040199,570,15550,2004,WR,78.0,211,,Clarence,Moore,Clarence Moore,WR,86011.0,2506019,Northern Arizona,78.0,220.0,1982-09-24,21.5972602739726,http://www.nfl.com/player/ClarenceMoore/2506019/profile,Bellflower,CA,USA,,,,,,4.55,34.0,,4.21,122.0,6.84,,,2004
368,20040244,0,15398,2004,WR,69.3,179,,Derek,Abney,Derek Abney,WR,40506.0,2506023,Kentucky,69.0,180.0,1980-12-19,23.36164383561644,http://www.nfl.com/player/DerekAbney/2506023/profile,Minot,ND,USA,,,,,,4.56,33.5,,4.08,120.0,6.89,,,2004
372,20050003,6369,15753,2005,WR,74.88,211,,Braylon,Edwards,Braylon Edwards,WR,48109.0,2506342,Michigan,75.0,214.0,1983-02-21,22.183561643835617,http://www.nfl.com/player/BraylonEdwards/2506342/profile,Detroit,MI,USA,Bishop Gallagher HS,,MI,USA,,4.45,,22.0,,,,,,2005
374,20050007,1695,15951,2005,WR,73.4,203,,Troy,Williamson,Troy Williamson,WR,29208.0,2506346,South Carolina,73.0,203.0,1983-04-30,21.997260273972604,http://www.nfl.com/player/TroyWilliamson/2506346/profile,Jersey City,NJ,USA,,,,,,4.34,37.0,,4.18,,6.99,,21.0,2005
375,20050010,3851,15950,2005,WR,76.63,229,,Mike,Williams,Mike Williams,WR,90089.0,2506356,USC,77.0,235.0,1984-01-04,21.315068493150687,http://www.nfl.com/player/MikeWilliams/2506356/profile,Tampa,FL,USA,Henry B. Plant HS,,FL,USA,,4.57,36.5,,,,,,,2005
378,20050022,3324,15725,2005,WR,70.38,193,,Mark,Clayton,Mark Clayton,WR,73019.0,2506361,Oklahoma,70.0,190.0,1982-07-02,22.824657534246576,http://www.nfl.com/player/MarkClayton/2506361/profile,Oklahoma City,OK,USA,Sam Houston HS,Arlington,TX,USA,,4.43,36.5,,4.07,117.0,6.95,,,2005
381,20050035,2628,15707,2005,WR,73.63,196,,Reggie,Brown,Reggie Brown,WR,30602.0,2506374,Georgia,73.0,197.0,1981-01-13,24.29041095890411,http://www.nfl.com/player/ReggieBrown/2506374/profile,Carrollton,GA,USA,Carrollton HS,,GA,USA,,4.52,41.5,,3.94,128.0,6.99,,,2005
382,20050039,1073,15699,2005,WR,73.38,201,,Mark,Bradley,Mark Bradley,WR,73019.0,2506378,Oklahoma,73.0,201.0,1982-01-29,23.246575342465757,http://www.nfl.com/player/MarkBradley/2506378/profile,Pine Bluff,AR,USA,,,,,,4.43,39.5,,3.98,128.0,6.96,,,2005
387,20050055,2414,15874,2005,WR,69.75,168,,Roscoe,Parrish,Roscoe Parrish,WR,33124.0,2506394,Miami (FL),69.0,175.0,1982-07-16,22.78630136986301,http://www.nfl.com/player/RoscoeParrish/2506394/profile,Miami,FL,USA,Miami Senior HS,,FL,USA,,4.4,,,,,,,,2005
388,20050058,36,15864,2005,WR,72.88,202,,Terrence,Murphy,Terrence Murphy,WR,77843.0,2506397,Texas A&M,73.0,196.0,1982-12-15,22.36986301369863,http://www.nfl.com/player/TerrenceMurphy/2506397/profile,Tyler,TX,USA,,,,,,4.43,,,,,,,,2005
389,20050061,5717,15814,2005,WR,76.75,241,,Vincent,Jackson,Vincent Jackson,WR,80631.0,2506400,Northern Colorado,77.0,230.0,1983-01-14,22.28767123287671,http://www.nfl.com/player/VincentJackson/2506400/profile,Colorado Springs,CO,USA,Widefield HS,Colorado Springs,CO,USA,,4.5,39.0,,,,,,,2005
390,20050068,992,15898,2005,WR,72.13,189,,Courtney,Roby,Courtney Roby,WR,47405.0,2506407,Indiana,72.0,189.0,1983-01-10,22.2986301369863,http://www.nfl.com/player/CourtneyRoby/2506407/profile,Indianapolis,IN,USA,North Central HS,Indianapolis,IN,USA,,4.41,36.5,,3.94,125.0,6.6,,,2005
394,20050083,1905,15799,2005,WR,76.0,197,,Chris,Henry,Chris Henry,WR,26506.0,2506422,West Virginia,76.0,200.0,1983-05-17,21.95068493150685,http://www.nfl.com/player/ChrisHenry/2506422/profile,Belle Chasse,LA,USA,,,,,,4.5,,,,,,,,2005
396,20050096,1268,15821,2005,WR,73.38,210,,Brandon,Jones,Brandon Jones,WR,73019.0,2506435,Oklahoma,73.0,212.0,1982-10-06,22.56164383561644,http://www.nfl.com/player/BrandonJones/2506435/profile,Texarkana,TX,USA,,,,,,4.47,37.0,,4.08,114.0,7.03,,,2005
399,20050114,231,15843,2005,WR,71.25,181,,Jerome,Mathis,Jerome Mathis,WR,23669.0,2506452,Hampton (VA),71.0,184.0,1983-07-26,21.75890410958904,http://www.nfl.com/player/JeromeMathis/2506452/profile,Petersburg,VA,USA,,,,,,4.26,35.5,,,123.0,,,,2005
400,20050118,30,15837,2005,WR,74.63,217,,Chase,Lyman,Chase Lyman,WR,94720.0,2506455,California,76.0,210.0,1982-09-04,22.649315068493152,http://www.nfl.com/player/ChaseLyman/2506455/profile,Mountain View,CA,USA,,,,,,4.51,,16.0,,,,,,2005
404,20050131,207,15775,2005,WR,76.0,196,,Fred,Gibson,Fred Gibson,WR,30602.0,2506468,Georgia,76.0,202.0,1981-10-26,23.506849315068493,http://www.nfl.com/player/FredGibson/2506468/profile,Waycross,GA,USA,,,,,,4.57,38.5,,4.1,126.0,7.03,,,2005
406,20050140,82,15738,2005,WR,70.5,186,,Airese,Currie,Airese Currie,WR,29631.0,2506477,Clemson,71.0,185.0,1982-11-16,22.44931506849315,http://www.nfl.com/player/AireseCurrie/2506477/profile,Columbia,SC,USA,,,,,,4.52,38.0,,4.07,125.0,7.05,,,2005
408,20050155,19,15698,2005,WR,76.38,205,,Larry,Brackins,Larry Brackins,WR,39401.0,2510009,Pearl River (MS),76.0,221.0,1982-11-05,22.47945205479452,http://www.nfl.com/player/LarryBrackins/2510009/profile,Dothan,AL,USA,Dothan HS,,AL,USA,,4.65,35.0,,4.44,108.0,7.16,,,2005
412,20050185,292,15872,2005,WR,67.38,183,,Chad,Owens,Chad Owens,WR,96813.0,2506520,Hawaii,67.0,188.0,1982-04-03,23.07123287671233,http://www.nfl.com/player/ChadOwens/2506520/profile,Honolulu,HI,USA,Roosevelt HS,Honolulu,HI,USA,,4.66,37.0,23.0,3.94,110.0,6.7,,,2005
413,20050190,199,15880,2005,WR,74.5,229,,Tab,Perry,Tab Perry,WR,90095.0,2506525,UCLA,75.0,215.0,1982-01-20,23.27123287671233,http://www.nfl.com/player/TabPerry/2506525/profile,,,,,,,,,4.48,34.0,,,116.0,7.0,,,2005
414,20050192,59,15894,2005,WR,71.13,212,,Dante,Ridgeway,Dante Ridgeway,WR,47306.0,2506527,Ball State (IN),73.0,200.0,1984-04-18,21.02739726027397,http://www.nfl.com/player/DanteRidgeway/2506527/profile,Chicago,IL,USA,,,,,,4.6,33.0,,4.39,117.0,7.27,,,2005
415,20050195,60,15700,2005,WR,72.63,196,,Craig,Bragg,Craig Bragg,WR,90095.0,2510051,UCLA,73.0,190.0,1982-03-15,23.12328767123288,http://www.nfl.com/player/CraigBragg/2510051/profile,San Jose,CA,USA,Bellarmine College Preparatory,,CA,USA,,4.46,36.0,,,,,,,2005
419,20050225,379,15938,2005,WR,72.38,219,,Paris,Warren,Paris Warren,WR,84112.0,2506557,Utah,72.0,213.0,1982-09-06,22.64383561643836,http://www.nfl.com/player/ParisWarren/2506557/profile,Sacramento,CA,USA,Grant Union HS,Sacramento,CA,USA,,4.73,31.5,,,,,,,2005
420,20050226,294,15844,2005,WR,73.5,211,,LeRon,McCoy,LeRon McCoy,WR,15705.0,2506558,Indiana (PA),73.0,219.0,1982-01-24,23.26027397260274,http://www.nfl.com/player/LeRonMcCoy/2506558/profile,Harrisburg,PA,USA,,,,,,4.41,37.0,,4.21,119.0,7.19,,,2005
426,20050253,154,15905,2005,WR,75.0,206,,J.R.,Russell,J.R. Russell,WR,40292.0,2506583,Louisville,75.0,206.0,1981-12-05,23.3972602739726,http://www.nfl.com/player/J.R.Russell/2506583/profile,Tampa,FL,USA,Gaither HS,,FL,USA,,4.58,34.5,,,,,,,2005
432,20060036,497,16063,2006,WR,72.88,213,,Chad,Jackson,Chad Jackson,WR,32611.0,2495862,Florida,73.0,210.0,1985-03-06,21.16164383561644,http://www.nfl.com/player/ChadJackson/2495862/profile,Birmingham,AL,USA,,,,,,4.35,38.5,,3.97,122.0,6.73,,15.0,2006
433,20060044,311,16128,2006,WR,68.0,185,,Sinorice,Moss,Sinorice Moss,WR,33124.0,2495916,Miami (FL),68.0,185.0,1983-12-28,22.350684931506848,http://www.nfl.com/player/SinoriceMoss/2495916/profile,Miami,FL,USA,,,,,,4.4,,,,,,,,2006
435,20060052,9671,16071,2006,WR,71.13,197,,Greg,Jennings,Greg Jennings,WR,49008.0,2495867,Western Michigan,73.0,198.0,1983-09-21,22.61917808219178,http://www.nfl.com/player/GregJennings/2495867/profile,Kalamazoo,MI,USA,Kalamazoo Central HS,,MI,USA,,4.47,36.5,,4.16,117.0,6.68,,,2006
438,20060057,3778,16052,2006,WR,70.63,190,,Devin,Hester,Devin Hester,WR,33124.0,2506897,Miami (FL),71.0,190.0,1982-11-04,23.4986301369863,http://www.nfl.com/player/DevinHester/2506897/profile,Riviera Beach,FL,USA,Suncoast HS,Riviera Beach,FL,USA,,4.46,38.0,16.0,,124.0,,,,2006
442,20060078,178,16230,2006,WR,74.0,214,,Travis,Wilson,Travis Wilson,WR,73019.0,2495984,Oklahoma,73.0,210.0,1984-02-11,22.22739726027397,http://www.nfl.com/player/TravisWilson/2495984/profile,Carrollton,TX,USA,,,,,,4.53,36.5,,3.99,120.0,6.7,,,2006
444,20060082,2638,16036,2006,WR,73.75,208,,Derek,Hagan,Derek Hagan,WR,85287.0,2495843,Arizona State,74.0,210.0,1984-09-21,21.616438356164384,http://www.nfl.com/player/DerekHagan/2495843/profile,Northridge,CA,USA,Palmdale HS,,CA,USA,,4.45,36.0,,4.07,124.0,,,,2006
445,20060084,45,16224,2006,WR,69.38,179,,Brandon,Williams,Brandon Williams,WR,53706.0,2495978,Wisconsin,71.0,170.0,1984-02-24,22.19178082191781,http://www.nfl.com/player/BrandonWilliams/2495978/profile,St. Louis,MO,USA,,,,,,4.5,34.5,38.0,4.07,115.0,6.87,,,2006
447,20060090,558,16191,2006,WR,76.38,217,,Maurice,Stovall,Maurice Stovall,WR,46556.0,2495957,Notre Dame,77.0,220.0,1985-02-21,21.197260273972603,http://www.nfl.com/player/MauriceStovall/2495957/profile,Philadelphia,PA,USA,Archbishop John Carroll HS,Radnor,PA,USA,,4.59,35.0,,4.14,122.0,6.81,,,2006
448,20060095,218,16159,2006,WR,70.5,188,,Willie,Reid,Willie Reid,WR,32306.0,2495933,Florida State,70.0,192.0,1982-09-19,23.624657534246577,http://www.nfl.com/player/WillieReid/2495933/profile,Kathleen,GA,USA,,,,,,4.41,37.5,,4.26,117.0,7.06,,,2006
450,20060103,807,16181,2006,WR,74.13,213,,Brad,Smith,Brad Smith,WR,65211.0,2506916,Missouri,74.0,213.0,1983-12-12,22.39452054794521,http://www.nfl.com/player/BradSmith/2506916/profile,Youngstown,OH,USA,Chaney HS,Youngstown,OH,USA,,4.51,39.5,,4.33,128.0,7.0,,24.0,2006
451,20060104,0,16162,2006,WR,71.88,188,,Cory,Rodgers,Cory Rodgers,WR,76109.0,2506917,Texas Christian,72.0,186.0,1983-02-22,23.197260273972603,http://www.nfl.com/player/CoryRodgers/2506917/profile,Houston,TX,USA,,,,,,4.66,33.5,,4.19,110.0,7.37,,,2006
454,20060119,8170,16102,2006,WR,76.5,229,,Brandon,Marshall,Brandon Marshall,WR,32816.0,2495893,Central Florida,77.0,232.0,1984-03-23,22.115068493150684,http://www.nfl.com/player/BrandonMarshall/2495893/profile,Pittsburgh,PA,USA,Lake Howell HS,Winter Park,FL,USA,,4.54,37.0,28.0,4.09,120.0,7.05,,,2006
455,20060125,91,16032,2006,WR,69.13,192,,Skyler,Green,Skyler Green,WR,70803.0,2495839,Louisiana State,69.0,190.0,1984-09-12,21.64109589041096,http://www.nfl.com/player/SkylerGreen/2495839/profile,Houma,LA,USA,L.W. Higgins HS,,LA,USA,,4.52,34.0,,,118.0,,,,2006
